gm4570861009787460024	15151.26
gm3434569570120335618	16188.12
gm4230257574678993389	15977.73
gm6979188022288767468	16530.12
gm1944578835674705653	15389.86
gm5874818531394332122	15284.02
gm2398453051601574419	29626.84
gm5018900800796195918	15220.58
gm4493474335610793768	16695.29
gm5515383851769425850	16980.77
gm6353163183761804471	16017.85
gm5450603279255076808	15659.48
gm1570606913861752730	16357.20
gm796892615942945670	15795.99
gm2591330144872253306	14877.15
gm2873792927624569925	15637.32
gm2668409214269618190	15707.28
gm2817978706271276892	15715.33
gm6430896669648614722	15012.10
gm2848390624565696155	14675.88
gm810404537015351930	17042.44
gm6054302583456057136	16129.80
gm7968530706242054779	14060.18
gm2167056713372064728	14854.93
gm4577132325683194664	15411.91
gm3489548749167911389	16913.77
gm8660101512584410399	17015.27
gm9027358851682444478	16027.82
gm5200959365818270013	15156.28
gm2482177894502263722	14829.91
gm3741513487173886727	15496.99
gm2673815816316596394	13859.95
gm4244917268795241229	16494.81
gm4043603915286705317	14811.59
gm3697991257213666769	15167.16
gm3243963292112976148	14600.07
gm7226370298588120545	16049.32
gm4254227728365247238	14799.06
gm1113663102315858455	17104.41
gm8641285938041531050	16015.59
gm7759873318710132694	14778.69
gm2342254735314427238	15534.23
gm3991438980632716947	14797.09
gm8523764772514767252	15106.00
gm6289646203689139956	47158.61
gm5819104653337390264	16333.23
gm8803949790238100682	14838.97
gm7320439336232474012	15251.63
gm6297962866136792170	16806.74
gm7742664636839714593	14866.22
gm3845235583560339801	15973.83
gm5954536779254859114	14693.35
gm3549185275013527233	14947.46
gm8703021916972265820	16082.83
gm6411340963617502655	16414.65
gm2703968558792815447	16396.21
gm2552999212507725321	15626.98
gm192643136773357884	15907.36
gm8299720325408876034	17407.31
gm970959721454539686	15901.18
gm5185743810631623424	47406.98
gm6910416356087320500	16196.80
gm3185626918119208064	15613.10
gm8175828123231485457	15633.90
gm8410554516486378952	15686.13
gm2579848856088238394	16742.37
gm1161891665389562629	15262.51
